project;plan
csv_serialization;"This 8.x-2.x branch is Drupal 9 compatible."
fontawesome;"Drupal 9 compatible"
viewsreference;"This module is ready for Drupal 9! [#3042651] [#3114382]"
extlink;"This module is Drupal 9 compatible 🍻"
smart_trim;"Smart Trim is already compatible with Drupal 9!"
link_attributes;"✅ This module is currently compatible with Drupal 9 🎉 [#3042671]"
panels;"Panels 4.6+ Supports Drupal 9. Requires Drupal 8.8+"
file_mdm;"File metadata manager 2.x is ready for Drupal 9."
color_field;"Dual Drupal 8/9 Compatible with 8.x-2.3+"
components;"Components 8.x-2.0 and later are compatible with Drupal 9."
facets;"The latest release supports both 8.x and 9.x"
antibot;"Completed with version 8.x-1.4."
restui;"No known issues."
slick_views;"Slick Views 8.x-2.x supports Drupal 9. Enjoy."
features;"Features is compatible with Drupal 9 starting with the 8.x-3.9 release."
geolocation;"See [#3089461]"
page_manager;"Beta5 and above support D9."
rabbit_hole;"Rabbit Hole is compatible with Drupal 9 🐰"
search_api_solr;"The port to Drupal 9 has been finished! Search API Solr 4.2.x supports Drupal 8 and 9 in parallel."
token_filter;"8.x-1.2+ passes <a href=""https://github.com/mglaman/drupal-check"">drupal-check</a> and has been updated to allow installation in Drupal 9"
sitemap;"The 8.x-2.x branch supports both Drupal 8 and Drupal 9."
editor_file;"This module is ready for Drupal 9!"
advagg;"Advanced CSS/JS Aggregation 8.x-4.0+ supports Drupal 9."
views_slideshow;"This module is Drupal 9 compatible 🍻"
views_bootstrap;"This module is Drupal 9 compatible in both the 8.x-4.x and 8.x-3.x versions."
bootstrap_barrio;"Theme is ready for Drupal 9"
addtoany;"AddToAny 8.x-1.13+ supports Drupal 9."
chosen;"Chosen 8.x-2.9 supports Drupal 9."
twig_field_value;"The <a href=""/project/twig_field_value/releases/2.0.0"">2.0.0 release</a> is Drupal 8.8 and 9.x compatible."
typed_data;"This module is Drupal 9 ready."
menu_breadcrumb;"Compatible with Drupal 9"
quick_node_clone;"This module is Drupal 9 compatible 🍻"
geofield;"Geofield 8.x-1.14+ supports Drupal 9."
entity_clone;"8.x-1.0-beta4+ is Drupal 9 compatible."
anchor_link;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/anchor_link?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
contact_block;"The <a href=""/project/contact_block/releases/8.x-1.5"">8.x-1.5 release</a> is compatible with both Drupal 8 and 9."
feeds;"8.x-3.0-alpha8+ is Drupal 9 compatible."
panelbutton;"This module supports Drupal 9."
entity_usage;"- The 8.x-2.0-beta2 release (and earlier versions) is compatible with Core <= 8.7.* - The 8.x-2.0-beta3 release requires D8.8+, and is compatible with Drupal 8.8.*, 8.9.* and 9.*"
masquerade;"Initial compatibility commited in [#3042713]"
colorbutton;"This module supports Drupal 9."
simplenews;"Simplenews 8.x-2.x supports Drupal 9"
purge;"Use the dev release as it stands today and upgrade to <strong>8.x-3.0</strong> once it gets out!"
view_unpublished;"View unpublished 8.x-1.0-rc2+ is Drupal 9 compatible."
auto_entitylabel;"This module should work with Drupal 9.  Please report issues if not.  In the moment there is a huge initiative going on to change/optimize the behaviour of the core its default entity label field (e.g. node title). If these fields become more accessable in near future, then the Computed Field module and Auto Entity Label project have an overlapping feature set to discuss and to maybe look at for options to maybe merge forces. <em>(Edit by @diqidoq)</em>"
entityqueue;"This module is compatible with Drupal 9."
commerce;"This module is Drupal 9 ready."
asset_injector;"<strong>Up to date and ready for Drupal 9.</strong>"
autologout;"Automated Logout 8.x-1.3+ supports Drupal 9."
robotstxt;"This module is Drupal 9 ready as of the 8.x-1.4 release"
jquery_ui_draggable;"8.x-1.2+ is Drupal 9 compatible."
jquery_ui_droppable;"8.x-1.2+ is Drupal 9 compatible."
social_media_links;"This module is Drupal 9 compatible 🍻"
search_api_autocomplete;"This module is fully compatible with Drupal 9."
mimemail;"This module is Drupal 9 ready."
weight;"This module is Drupal 9 compatible 🍻"
migrate_source_csv;"This module has no identified issues and should be ready."
menu_trail_by_path;"Drupal 9-ready with patch in [#3042759]."
layout_builder_restrictions;"Layout Builder Restrictions 8.x-2.7+ supports Drupal 9."
ckeditor_media_embed;"This module is ready for Drupal 9."
flexslider;"FlexSlider 8.x-2.0 is compatible with Drupal 9."
rules;"The 8.x-3.x-dev version of Rules is compatible with Drupal 9 and works with Drupal 9.  Rules still faces an existential threat until https://www.drupal.org/project/drupal/issues/3126747 is fixed. If you want to ensure the future of Rules in Drupal 9 and beyond, please participate in that issue."
views_field_view;"Drupal 9 compatible"
entity_browser_enhanced;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/entity_browser_enhanced?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
simple_gmap;"The 3.0.0 release is compatible with both Drupal8 and Drupal9.  1) All module test pass on a Drupal9 ( dev branch as of 20th Jan 2020 )  2) drupal-check, reports no deprecation issues."
mailchimp;"The recommended 2.x branch is Drupal 9 ready. Any issues found on this branch will be prioritized for maintenance work."
acquia_connector;"Acquia Connector 3.x is compatible with Drupal 8.9 and 9+. Acquia Connector 8.x-1.x is not compatible and should only be used if you need Drupal 8.8 and lower. 8.x-2.x is not supported and you should update to 3.x"
geocoder;"Geocoder 8.x-3.4+ supports Drupal 9."
override_node_options;"8.x-2.x is Drupal 9 compatible."
video;"Drupal 9 focus of the module will be to provide video transcoding and hosting only. There will be an integration with the Core Media suite.  Help port this project at [#3146521]"
shield;"This module supports Drupal 9 and requires 8.7.7+ as of version 1.4. If you're using Drupal 8.5 or lower, use 1.2 or 1.3-rc1. If you're using Drupal 8.6, use 1.3"
fontyourface;"This module is Drupal 9 compatible 🍻"
field_formatter_class;"Field Formatter Class 8.x-1.3+ supports Drupal 9. Enjoy."
taxonomy_menu;"Drupal 9 fully supported as of the 8.x-3.5 release."
upgrade_status;"The module fully works on Drupal 9 for detecting compatibility issues with Drupal 10. To detect deprecated API use from 8 to 9, you need to use it on Drupal 8, because that has the definitions of those APIs."
dynamic_entity_reference;"8.x-1.9 and 8.x-2.0-alpha12 are Drupal 9 compatible."
views_templates;"This module is Drupal 9 compatible 🍻"
panelizer;"Panelizer 4.4+ supports Drupal 9 and requires Drupal 8.8."
email_registration;"The 8.x-1.1 release is compatible with Drupal 9. Yay."
votingapi;"The project is ready for Drupal 9 🎉🎉🎉"
gin;"This theme is ready & tested with Drupal 9."
consumers;"Consumers >= 8.x-1.11 is compatible with Drupal 9."
fullcalendar_view;"Fullcalendar View 8.x-2.6+ supports Drupal 9."
tamper;"Help port this project at [#3100431]"
back_to_top;"This module is ready for Drupal 9 ([#3101950], [#3094727])."
views_conditional;"This module is Drupal 9 compatible!"
entity_reference_display;"This module is Drupal 9 compatible."
devel_entity_updates;"Branch 3.0.x is compatible with both Drupal 8 and Drupal 9."
geofield_map;"Geofield Map 8.x-2.61+ supports Drupal 9."
content_access;"8.x-1.0-alpha3 is compatible with Drupal 9."
transliterate_filenames;"8.x-1.4+ is Drupal 9 compatible."
leaflet;"Leaflet 8.x-1.38+ support Drupal 9."
responsive_menu;"This project is Drupal 9 ready"
faqfield;"The project is ready for Drupal 9 🎉🎉🎉"
rebuild_cache_access;"Rebuild Cache Access is ready for Drupal 9."
ckeditor_accordion;"Project is Drupal 9 compatible."
youtube;"The 8.x-1.2 release is compatible with Drupal 9."
exclude_node_title;"This module is Drupal 9 compatible 🍻"
workbench;"The <a href=""/project/workbench/releases/8.x-1.2"" title=""8.x-1.2 release notes"">8.x-1.2 release</a> and higher are Drupal 9 compatible."
svg_image_field;"This module is Drupal 9 ready."
layout_builder_modal;"Layout Builder Modal 8.x-1.1+ supports Drupal 9. See [#3127532]"
gin_toolbar;"This module works with D9"
lightning_media;"Lightning Media 4.x and up is compatible with Drupal 9."
views_fieldsets;"The project is ready for Drupal 9 🎉🎉🎉"
pathologic;"D9 compatible as of <a href=""https://www.drupal.org/project/pathologic/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a>."
autoban;"This module is ready for Drupal 9!"
ga;"Compatible with Drupal 9"
field_display_label;"This module is Drupal 9 compatible 🍻"
quicktabs;"Work for Drupal 9 is under active development. <a href=""https://www.drupal.org/project/quicktabs/issues/3138446"">See plan</a>."
smart_date;"This module is Drupal 9 ready."
physical;"Compatible with Drupal 9 from version 8.x-1.1"
tablefield;[#3062227]
search404;"2.0.0 fully support latest D8 core and D9."
csp;"Compatible with Drupal 9"
lazy;"This module is ready for Drupal 9."
rename_admin_paths;"This module should be Drupal 9 compatible."
config_pages;"Versions started from 8.x-2.7 are compatible with Drupal 9"
social_media;"This module should be ready to go with Drupal 9! Please create an issue if you find any problems."
calendar;"This module is Drupal 9 compatible 🍻"
ldap;"4.x supports Drupal 9.x"
masonry;"Compatible with Drupal 9 since version 8.x-1.0"
iframe;"Compatible since version 8.x-2.12"
acsf;"8.x-2.66 is compatible with Drupal 9."
menu_condition;"This module is Drupal 9 compatible 🍻"
we_megamenu;"Version 8.x-1.11 is D9-ready!"
migrate_upgrade;"No known Drupal 9 conflicts. This module should support both Drupal 8 and Drupal 9. Along with Drush 8 (best effort) and Drush 9/10."
feeds_ex;"8.x-1.0-alpha4+ is Drupal 9 compatible."
bootstrap_paragraphs;"This module should work just fine with Drupal 8 or 9."
menu_item_role_access;"Menu Item Role Access 8.x-2.x is compatible with Drupal 9!"
minifyhtml;"Minify Source HTML supports D9 from version 8.x-1.9 and onward."
slick_entityreference;"This module is Drupal 9 ready."
matomo;"This module is Drupal 9 ready from version 8-x-1.10!"
lightning_layout;"As of version 2.6, this module is compatible with Drupal 9."
s3fs;"Version 8.x-3.0-alpha17 and above support D9."
clientside_validation;"This module is Drupal 9 ready (8.x-1.2 onwards)"
realname;"Real Name 2.0.0-beta1 supports Drupal 9. Enjoy."
content_lock;"This project has released 8.x-2.0 that is compatible with Drupal 9 and has automated tests."
media_bulk_upload;"8.x-1.0-alpha27+ is Drupal 9 compatible."
spamspan;"The 8.x version is compatible with Drupal 9."
hreflang;"The 8.x-1.x branch of this module supports Drupal 9."
domain;"Beta2 and higher should be fully compatible with Drupal 9"
juicebox;"This module is Drupal 9 compatible 🍻"
toolbar_menu;"8.x-2.2+ is Drupal 9 compatible."
views_block_filter_block;"Views Block Exposed Filter Blocks 8.x-1.0+ supports Drupal 9. Enjoy."
imageapi_optimize_resmushit;"This module is Drupal 9 ready."
administerusersbyrole;"Administer Users by Role supports Drupal 9"
media_library_theme_reset;"This module is Drupal 9 compatible!"
eck;"This project is compatible with Drupal 9."
file_delete;"File Delete 8.x-1.0 supports Drupal 9. Enjoy!"
autocomplete_deluxe;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/autocomplete_deluxe?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
ckeditor_youtube;"Compatible with Drupal 9"
bootstrap4;"Theme is Drupal 9 compatible."
csv_importer;"Supports D9."
block_exclude_pages;"Use version 2.0.0 for D9"
social_api;"3.x branch support Drupal 9."
term_csv_export_import;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
node_revision_delete;"This module is ready for Drupal 9."
disable_messages;"Fully compatible with Drupal 9. Use 2.0.0 release."
owlcarousel;"Compatible with Drupal 9 since 8.x-1.0-alpha4"
computed_field;"If you'd like to see a stable release, please help with [#3143864]."
link_class;"Compatible with Drupal 9 since 8.x-1.5 version and 2.x versions"
recreate_block_content;"The last dev version should be Drupal 9 compatible."
samlauth;"8.x-3.0-alpha2 is compatible with Drupal 9."
blockgroup;"Block Group 8.x-1.3+ supports Drupal 9. Enjoy."
change_pwd_page;"This module is ready for Drupal 9."
unlimited_number;"Drupal 8.9 / 9.x support can be found in 2.x branch. 2.x is a drop in replacement for 1.x branch."
media_entity_download;"Drupal 9 compatible."
audiofield;"Drupal 9 compatible"
social_auth;"Drupal 9 support added in <a href=""https://www.drupal.org/project/social_auth/releases/8.x-2.0-rc3"">8.x-2.0-rc3</a>."
responsive_tables_filter;"This module is Drupal 9 compatible! See [#3130319]"
photoswipe;"This module is Drupal 9 compatible in the 3.x branch."
advanced_text_formatter;"This module is Drupal 9 compatible."
insert;"This module is Drupal 9 compatible 🍻"
simplify;"Drupal 9 is fully supported by this module."
cookieconsent;"8.x-1.6+ is Drupal 9 compatible."
commerce_paypal;"This module is Drupal 9 ready."
prepopulate;"This project supports Drupal core 8.x and 9.x."
tmgmt;"Drupal 9 compatible."
svg_formatter;"This module is Drupal 9 ready."
persistent_login;"Compatible with Drupal 9"
ckeditor_bootstrap_buttons;"CKEditor Bootstrap Buttons 8.x-1.2+ supports Drupal 9. Enjoy."
menus_attribute;"Version 8.x-1.2 is Drupal 9 compatible."
shariff;"This module is Drupal 9 ready."
avatars;"Avatar Kit follows Drupal 9 and Drupal 8 head with best effort, feel free to file issues."
search_api_page;"The latest release supports both 8.x and 9.x"
page_load_progress;"This module should already be compatible with Drupal 9!"
module_missing_message_fixer;"2.0.0 is Drupal 9 compatible"
fivestar;"This module is Drupal 9 ready."
entity_type_clone;"[#3075627] [#3147371]"
views_exposed_filter_blocks;"This module is Drupal 9 compatible in the latest branch."
flood_unblock;"<a href=""https://www.drupal.org/project/flood_control"">Flood Control is D9 ready</a>"
yearonly;"Drupal 9 compatibility patch is applied in 9.0.x branch.  core_version_requirement: ^8 || ^9"
addtocalendar;"Addtocalendar 8.x-3.2+ now supports Drupal 9."
config_perms;"Compatible with Drupal 9"
entity_class_formatter;"This module is Drupal 9 compatible."
gdoc_field;"Release 8.x-1.2 is compatible with Drupal 9."
block_permissions;"8.x-1.1+ is Drupal 9 compatible."
perimeter;"<ul>   <li>2.x branch is Drupal 9 compatible</li>   <li>1.x branch will sooner or later be deprecated</li> </ul>"
fixed_block_content;"This module is compatible with Drupal 9 from version 1.1 onwards"
name;"This module is Drupal 9 ready."
current_page_crumb;"Current Page Crumb supports Drupal 9."
check_dns;"The <a href=""https://www.drupal.org/project/check_dns/releases/8.x-1.2"">8.x-1.2</a> release and higher are Drupal 9 compatible."
login_emailusername;"Drupal 9 compatible as of <code>8.x-1.2</code> version."
term_reference_tree;"Drupal 9 compatible."
remove_http_headers;"Compatible with Drupal 9"
tb_megamenu;"Drupal 9 Compatibility is available starting the 2nd Beta Release and the latest 8.x Dev branch"
config_rewrite;"Lets get config_rewrite into core: [#3088325] && [#2960941]"
subpathauto;"This module is Drupal 9 ready."
imageapi_optimize_binaries;"This module is Drupal 9 ready."
noreqnewpass;"This module is Drupal 9 compatible 🍻"
gin_login;"This module is ready for D9!"
range;"This module is fully compatible with Drupal 9."
field_formatter;"This module is Drupal 9 compatible in the 3.x branch."
advancedqueue;"This module is D9 ready from version 8.x-1.0-rc1"
d8w3css;"⚡️ Version 8.x-1.16 and up are compatible with Drupal 8 and 9."
workbench_email;"See [#3094338]"
entity_reference_views_select;"Should be all set. Version 1.4 has been updated and tested. File an issue if you find one. This module will be deprecated by drupal 10 in favor of core so maintenence only."
date_recur;"Version 3 is designed and tested for Drupal 9. See support/compatibility table on project page."
social_auth_google;"3.x versions provide ongoing Drupal 9 support"
better_social_sharing_buttons;"This module is Drupal 9 compatible beginning with 3.0."
ckeditor_config;"This module (both 8.x-2.x and 8.x-3.x) is ready for Drupal 9!"
ckeditor_uploadimage;"Fully compatible as of 8.x-2.0. See [#3130267]."
simple_block;"This module is Drupal 9 compatible 🍻"
ckeditor_indentblock;"The module is Drupal 9 ready from version 8.x-1.0-beta2 and up."
bootstrap_styles;"Ready for Drupal 9!"
bamboo_twig;"Bamboo Twig is already ready for Drupal9 - see the issue [#3090749]"
background_image_formatter;"Fully compatible with Drupal 9."
simple_menu_icons;"Release 2.2 is here. Please test."
taxonomy_import;"Help port this project at [#3174577]."
contact_formatter;"Contact Formatter 2.0.0+ Supports Drupal 9. Enjoy!"
bootstrap_layout_builder;"Ready for Drupal 9!"
votingapi_widgets;"The 8.x-1.x-dev version of this module is Drupal 9 compatible."
paragraphs_ee;"8.x-1.x-dev is compatible with Drupal 9."
views_aggregator;"This module is Drupal 9 ready."
telephone_formatter;"You can follow a progress on making this module compatible with D9 in [#3087158]"
paragraphs_previewer;"Use 1.x version of this module."
yaml_content;"Full support as of 8.x-1.0-alpha6."
cdn;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/cdn/releases/8.x-3.4"">version 3.4</a>!"
htmlmail;"The 8.x-3.x-dev version of this module is Drupal 9 compatible."
user_registrationpassword;"This module is D9 ready"
site_settings;"This module is Drupal 9 ready."
extra_field;"The 8.x-1.2+ and 8.x-2.0+ releases are Drupal 8 and 9 compatible."
gutenberg;"Drupal Gutenberg has a stable release for Drupal 9."
google_analytics_reports;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/google_analytics_reports?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
ckeditor_liststyle;"Read more about this project’s readiness at [#3139809]"
imagick;"This module is ready for Drupal 9 as of 8.x-1.4!"
registration_role;"Registration role already works with Drupal 9."
private_files_download_permission;"This project is ready for D9."
twig_xdebug;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/twig_xdebug/releases/8.x-1.2"">version 1.2</a>."
views_custom_cache_tag;"Ready for Drupal 9."
entity_reference_exposed_filters;"Should be all set. Current version has been updated and tested. File an issue if you find one. This module may be deprecated by drupal core so maintenence fixes only."
menu_token;"The maintainers are actively working on the automated patches that will make it compatible with Drupal 9."
scheduled_updates;"There will be a D9 version."
publication_date;"The module is compatible with Drupal 9 since beta2."
big_pipe_sessionless;"Read more about this project’s readiness at [#3046409]"
simple_recaptcha;"<p>see <a href=""https://www.drupal.org/project/simple_recaptcha/issues/3144718"">#3144718 Drupal 9 Compatibility</a>, the module is compatible with Drupal 9 since release 8.x-1.0-alpha12</span>"
mathjax;"This project is ready for Drupal 9 in the 3.0.x branch. See [#3124159]."
form_mode_manager;"Compatible with Drupal 9 as of the <a href=""/project/form_mode_manager/releases/8.x-2.0-rc4"">8.x-2.0-rc4</a> release."
leaflet_more_maps;"Latest version supports D8.8, D8.9 and D9+"
simple_instagram_feed;"The latest 8.x Dev and Stable work in both Drupal 8 and 9."
search_api_pantheon;"Supported with the new 3.0.x releases."
country;"Compatible since version 8.x-1.0-beta4"
siteimprove;"8.x-1.2 and later releases are Drupal 9 compatible."
views_taxonomy_term_name_into_id;"Fully compatible with Drupal 9 as of <a href=""https://www.drupal.org/project/views_taxonomy_term_name_into_id/releases/8.x-1.0-alpha3"">8.x-1.0-alpha3</a>."
image_resize_filter;"Compatible with Drupal 9"
body_node_id_class;"This module will work as is with Drupal 9."
content_sync;"The 3.0.0-beta1 version is compatible with Drupal 9."
delete_all;"Delete all >2.0.0 supports Drupal 9"
contact_emails;"This module is Drupal 9 ready."
mobile_detect;"Mobile_Detect works with Drupal 9."
cookies;"Drupal ^8.6 and ^9.0 supported."
plugin;"Compatible with Drupal 9"
authorization;">=1.0-beta2 is compatible with D9."
search_autocomplete;"This module has a release compatible with Drupal 9."
betterlogin;"Better Login 8.x-1.5+ supports Drupal 9. Enjoy."
duration_field;"Fully D9 compatible as of <a href=""https://www.drupal.org/project/duration_field/releases/8.x-2.0-rc3"">8.x-2.0-rc3</a>."
google_cse;"This module is Drupal 9 compatible! See [#3122504]"
showcase_lite;"The theme is fully compatible with Drupal 9"
social_auth_facebook;"3.x versions support Drupal 9."
total_control;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/total_control?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
quicklink;"This module is compatible with Drupal 9."
multiple_registration;"Module versions from <strong>8.x-2.91+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions before <strong>8.x-2.91</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
ckeditor_templates_ui;"This module is Drupal 9 ready"
views_show_more;"Views Show More 8.x-1.0 supports Drupal 9."
monolog;"This project will be ported to Drupal 9 and will be based on Monolog 2.x"
date_recur_modular;"Drupal 9 is supported by the 3.x branch. Drupal ^8.9 is support can be found in the 2.x branch. Drupal 8.8.* and older should use 1.x branch."
multiselect;"This module has a Drupal 9-ready release"
file_download_link;"Releases beginning with beta3 are compatible with Drupal 9."
jquery_minicolors;"Drupal 9 ready"
media_directories;"This module is Drupal 9 ready!"
config_override_warn;"This module is Drupal 9 ready!"
taxonomy_menu_ui;"This module already supports Drupal 9"
wysiwyg_template;"This project is ready for Drupal 9"
moderated_content_bulk_publish;"The latest release supports Drupal 9­"
text_resize;[#3073768]
auditfiles;"<del>https://www.drupal.org/project/auditfiles/issues/3127142, https://www.drupal.org/project/auditfiles/issues/3004280 </del> As of release 8.x-2.4 this module is D9 Ready."
disable_html5_validation;"This module is Drupal 9 compatible!"
visitors;"This module doesn't contain deprecated code, so is D9 ready."
webform_rest;"Webform REST <a href=""https://www.drupal.org/project/webform_rest/releases/8.x-2.0-beta3"">8.x-2.0-beta3</a>+ supports Drupal 8.8|Drupal 9."
smart_ip;"Fully compatible as of 8.x-4.0. See [#3135397]."
media_entity_audio;"8.x-3.x is compatible with Drupal 9."
config_partial_export;"Module should be ready for Drupal 9. See [#3099572]"
language_switcher_extended;"The module is compatible with Drupal 8 and Drupal 9."
search_api_sorts;"Read more about this project’s readiness at [#3052009]"
mailgun;"Mailgun module is compatible with Drupal 9 - [#3122834]"
layout_builder_component_attributes;"This module is compatible with Drupal 9!"
bulk_update_fields;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
drd_agent;"This project is ready for Drupal 9"
cacheflush;[#3083843]
adsense;"Project should be ready for Drupal 9 already."
empty_fields;"Module compatible with 8.7.7 and 9.x, see [#2927899]"
bootstrap_business;"The theme is fully compatible with Drupal 9"
editor_advanced_image;"EAI is already ready for Drupal 9"
webform_encrypt;"Ready for Drupal 9."
view_custom_table;"Compatible with Drupal 9."
openid_connect_windows_aad;"Actively working on Drupal 9 readiness. Expected June 2020 - dev available as of 20 June 2020."
datatables;"This module is compatible with Drupal core 7, 8 and 9."
bootstrap_sass;"Ready for Drupal 9"
image_delta_formatter;"Release 8.x-1.1 is compatible with Drupal 9."
tara;"Since Version 8.x-2.0 Tara theme is now compatible with Drupal 9 also."
config_delete;"This module is Drupal 9 ready."
facets_block;"This module is Drupal 9 ready."
remote_stream_wrapper;"This module is Drupal 9 ready!"
taxonomy_unique;"Taxonomy unique is fully compatible with Drupal 9!"
entity_update;"Drupal 9 ready"
imagefield_slideshow;"Will be soon ported to Drupal 9."
securelogin;"The 8.x-1.x branch of this module supports Drupal 9."
improved_multi_select;"Compatible with Drupal 9"
serial;"8.x-1.x is Drupal 9 compatible."
layout_builder_blocks;"Ready for Drupal 9!"
fancy_file_delete;"2.0.0+ Is D9 compatible."
link_field_autocomplete_filter;"Link Field Autocomplete Filter is ready for Drupal 9."
core_context;"This module is compatible with Drupal 9."
disable_field;"Disable Field is ready for Drupal 9."
addanother;"This module is Drupal 9 compatible 🍻"
comments_order;"This module already supports Drupal 9"
ultimenu;"Ultimenu 8.x-2.x supports Drupal 9. Enjoy."
convert_bundles;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
commerce_variation_cart_form;"This module is Drupal 9 ready."
services;[#3154535]
salesforce;"Salesforce Suite supports Drupal 9"
manage_display;"Manage display supports Drupal 9."
pwa;"Help port this project at [#3131591]"
collapsiblock;"Version 3 is compatible with all current versions of Drupal 8 and 9"
rest_views;"Version 2.0.0 is fully compatible with Drupal 9."
bootstrap5;"Drupal 9 compatible"
colorapi;"Release 1.1 is ready. Please test."
paragraphs_admin;"Ready to be used with Drupal 9."
entity_reference_facet_link;"Version Beta 6 and higher is compatible with Drupal 9"
toc_js;"Compatible with Drupal 9 since 8.x-1.8 version"
modules_weight;"This module is ready for Drupal 9."
critical_css;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/critical_css/releases/8.x-1.13"">version 1.13</a>"
varbase_media;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_media?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
geophp;"This module is Drupal 9 compatible 🍻"
cacheexclude;"The 8.x-1.x-dev branch is Drupal 9 ready and awaiting a stable release.  See https://www.drupal.org/project/cacheexclude/issues/3133757"
oembed_providers;"This module is ready for Drupal 9!"
block_blacklist;"Do not use for Drupal 9, switch to <a href=""https://www.drupal.org/project/block_list_override"">Block List Override</a> instead."
role_expire;"Fully compatible with Drupal 9 since 8.x-1.4."
unique_field_ajax;"Version 2.x is D9 compatible."
route_condition;"This project will be compatible with Drupal 9 when it is released."
twigsuggest;"This module is ported to Drupal 9."
